Nome;CPF;Data de Nascimento;Telefone;Email;Gênero;Bairro;Faixa;Graus;Turma;Status;Data de Matrícula;Última Graduação
"Diogo Ferreira de Sousa";"111.000.001.14";"1990-12-16";"(61) 98275-9727";"diogo.ferreira.de.sousa@sfbjj.com.br";"Masculino";"Asa Sul";"Azul";"2";"Adulto";"Ativo";"2021-01-10";"2021-10-02"
"Ériclis Douglas dos Santos Araújo Carneiro";"111.000.001.46";"1999-04-22";"(061) 99354-5902";"ericlis.douglas.dos.santos.araujo.carneiro@sfbjj.com.br";"Masculino";"Setor Policial Sul";"Azul";"0";"Adulto";"Ativo";"2023-05-11";"2023-11-26"
"Fabrício Jaime Saraiva do Nascimento";"111.000.001.15";"1990-10-09";"(61) 99332-0951";"fabricio.jaime.saraiva.do.nascimento@sfbjj.com.br";"Masculino";"Candangolândia";"Azul";"4";"Adulto";"Inativo";"2023-01-10";"2023-10-29"
"Felipe Debattisti dos Santos";"111.000.001.16";"1991-01-21";"(61) 98431-6561";"felipe.debattisti.dos.santos@sfbjj.com.br";"Masculino";"Asa sul";"Branca";"1";"Adulto";"Ativo";"2026-03-15";"2025-08-23"
"Felipe Rocha Mendonça";"111.000.001.17";"1984-11-02";"61 981858105";"felipe.rocha.mendonca@sfbjj.com.br";"Masculino";"Guara";"Azul";"2";"Adulto";"Inativo";"2015-12-01";"2015-12-01"
"Flávio de Arruda Ribeiro";"111.000.001.18";"1976-01-09";"(61) 99333-5893";"flavio.de.arruda.ribeiro@sfbjj.com.br";"Masculino";"Taguatinga Norte";"Branca";"3";"Adulto";"Ativo";"2025-10-10";"2026-01-01"
"Georsolei Loredo de Faria";"111.000.001.19";"1983-04-29";"(61) 98300-2420";"georsolei.loredo.de.faria@sfbjj.com.br";"Masculino";"Asa Sul";"Roxa";"2";"Adulto";"Ativo";"2022-01-15";"2025-08-23"
"Guilherme Felisberto Mourão";"111.000.001.20";"2000-04-27";"(61) 99425-0806";"guilherme.felisberto.mourao@sfbjj.com.br";"Masculino";"Asa Sul";"Branca";"3";"Adulto";"Inativo";"2026-03-15";"2025-12-12"
"Gustavo Santos das Neves";"111.000.001.21";"1986-01-25";"(61) 99272-9559";"gustavo.santos.das.neves@sfbjj.com.br";"Masculino";"Cruzeiro Novo";"Branca";"4";"Adulto";"Ativo";"2024-01-10";"2025-08-23"
"Herbert William Boger";"111.000.001.22";"2005-03-12";"(61) 98100-1629";"herbert.william.boger@sfbjj.com.br";"Masculino";"Park Way";"Branca";"0";"Adulto";"Ativo";"2026-03-15";"2025-08-23"
"Ícaro Bernardes Barbosa";"111.000.001.47";"2010-05-02";"(61) 98185-8105";"icaro.bernardes.barbosa@sfbjj.com.br";"Masculino";"Asa sul";"Branca";"2";"Adulto";"Ativo";"2025-03-15";"2026-01-01"
"Isaac Mendes Campos";"111.000.001.23";"2016-01-09";"(61) 99104-5590";"isaac.mendes.campos@sfbjj.com.br";"Masculino";"Núcleo Bandeirante";"Branca";"0";"Kids";"Ativo";"2026-03-15";"2026-03-15"
"João Alfredo dos Santos Araújo Carneiro";"111.000.001.26";"2010-09-02";"(61) 98205-9079";"joao.alfredo.dos.santos.araujo.carneiro@sfbjj.com.br";"Masculino";"São Sebastião";"Branca";"0";"Kids";"Ativo";"2026-03-15";"2026-03-15"
"João Marcelo Izaga Coutinho de Oliveira";"111.000.001.24";"2016-08-14";"(61) 98353-9584";"joao.marcelo.izaga.coutinho.de.oliveira@sfbjj.com.br";"Masculino";"Cruzeiro";"Branca";"0";"Kids";"Ativo";"2026-03-15";"2026-03-15"
"José Antero Dias Neto";"111.000.001.25";"1983-09-25";"(61) 98473-4874";"jose.antero.dias.neto@sfbjj.com.br";"Masculino";"Santa Maria";"Branca";"4";"Adulto";"Ativo";"2025-08-02";"2025-08-02"
"Laura Araújo Luz";"111.000.001.27";"2017-03-13";"N/A";"laura.araujo.luz@sfbjj.com.br";"Feminino";"Asa Sul";"Branca";"0";"Kids";"Ativo";"2026-03-15";"2026-03-15"
"Leonardo Rocha Mendonça";"111.000.001.28";"1986-05-19";"(61) 99168-8002";"leonardo.rocha.mendonca@sfbjj.com.br";"Masculino";"Asa Sul";"Branca";"0";"Adulto";"Inativo";"2026-07-02";"2026-07-02"
"Lucas Santiago Gonçalves dos Anjos";"013.343.141-01";"1987-03-18";"(61) 98158-0353";"lucas.sga@gmail.com";"Masculino";"Guará";"Preta";"2";"Adulto";"Ativo";"2024-12-22";"2024-12-01"
"Lucas Santos Lima do Nascimento";"111.000.001.30";"1989-05-05";"(61) 98167-6724";"lucas.santos.lima.do.nascimento@sfbjj.com.br";"Masculino";"Cruzeiro Novo";"Azul";"3";"Adulto";"Ativo";"2022-06-15";"2025-08-23"
"Maria Giovana Vasconcelos dos Anjos";"111.000.001.48";"2020-12-18";"N/A";"maria.giovana.vasconcelos.dos.anjos@sfbjj.com.br";"Feminino";"Guara";"Branca";"0";"Kids";"Ativo";"2026-03-15";"2026-03-15"
"Miguel Meireles Oliveira de Almeida";"111.000.001.31";"2000-10-04";"(61) 99174-1111";"miguel.meireles.oliveira.de.almeida@sfbjj.com.br";"Masculino";"Taguatinga";"Azul";"2";"Adulto";"Ativo";"2019-12-14";"2019-12-14"
"Paulo Marcilio Almeida de Carvalho";"111.000.001.32";"1988-01-05";"(61) 98132-3186";"paulo.marcilio.almeida.de.carvalho@sfbjj.com.br";"Masculino";"Asa Sul";"Roxa";"2";"Adulto";"Ativo";"2025-08-23";"2025-08-23"
"Pedro Henrique Barbosa Brandão";"111.000.001.33";"1996-10-24";"(22) 98104-2161";"pedro.henrique.barbosa.brandao@sfbjj.com.br";"Masculino";"Sudoeste";"Branca";"4";"Adulto";"Ativo";"2024-05-10";"2025-08-23"
"Pedro Kauã Veloso de Sousa";"111.000.001.34";"2007-06-05";"(61) 99425-0806";"pedro.kaua.veloso.de.sousa@sfbjj.com.br";"Masculino";"Asa Sul";"Branca";"2";"Adulto";"Ativo";"2025-01-10";"2025-12-12"
"Pedro Suhet Justino";"111.000.001.35";"2003-03-08";"(61) 99973-0803";"pedro.suhet.justino@sfbjj.com.br";"Masculino";"Asa sul";"Azul";"3";"Adulto";"Ativo";"2025-12-15";"2025-12-15"
"Rafael Goulart do Nascimento";"111.000.001.36";"1988-02-23";"(61) 98221-2496";"rafael.goulart.do.nascimento@sfbjj.com.br";"Masculino";"Asa Sul";"Azul";"0";"Adulto";"Inativo";"2024-09-13";"2024-09-13"
"Raul Gonçalves de Moura";"111.000.001.37";"1993-07-10";"(61) 98311-0730";"raul.goncalves.de.moura@sfbjj.com.br";"Masculino";"Itapoã Parque";"Azul";"0";"Adulto";"Ativo";"2022-05-10";"2022-12-03"
"Rodrigo Rocha Mendonça";"111.000.001.38";"1982-04-15";"N/A";"rodrigo.rocha.mendonca@sfbjj.com.br";"Masculino";"Águas Claras";"Roxa";"0";"Adulto";"Inativo";"2020-11-01";"2020-11-01"
"Rodrigo Weber D'avila Valentim";"111.000.001.39";"1977-06-08";"(61) 99640-1878";"rodrigo.weber.d'avila.valentim@sfbjj.com.br";"Masculino";"Asa Sul";"Preta";"0";"Adulto";"Inativo";"2012-11-01";"2012-11-01"
"Thalles da Paz Moreira";"111.000.001.40";"1992-12-07";"(61) 99185-4342";"thalles.da.paz.moreira@sfbjj.com.br";"Masculino";"Cruzeiro";"Azul";"2";"Adulto";"Ativo";"2024-02-15";"2024-02-15"
"Thiago Augusto Rodrigues";"111.000.001.41";"1982-04-07";"(61) 99622-7769";"thiago.augusto.rodrigues@sfbjj.com.br";"Masculino";"Guará";"Preta";"0";"Adulto";"Ativo";"2015-05-10";"2025-08-23"
"Vinícius Gabriel Rodrigues da Silva Brito";"111.000.001.43";"2001-02-15";"(61) 99104-5590";"vinicius.gabriel.rodrigues.da.silva.brito@sfbjj.com.br";"Masculino";"Núcleo Bandeirante";"Roxa";"0";"Adulto";"Ativo";"2023-03-20";"2025-08-23"
"Vinicius Tadeu Uliana Cavalcante";"111.000.001.42";"1990-08-04";"(61) 98353-9584";"vinicius.tadeu.uliana.cavalcante@sfbjj.com.br";"Masculino";"Cruzeiro";"Azul";"0";"Adulto";"Ativo";"2023-05-12";"2025-08-23"
"Vitor Patrick Alves Tavares";"111.000.001.44";"2004-09-05";"(61) 99120-0140";"vitor.patrick.alves.tavares@sfbjj.com.br";"Masculino";"Asa Sul";"Azul";"0";"Adulto";"Ativo";"2024-02-10";"2025-12-15"
"Willian Kaizer Stambassi";"111.000.001.45";"1988-05-23";"(61) 98122-8887";"willian.kaizer.stambassi@sfbjj.com.br";"Masculino";"Sudoeste";"Branca";"0";"Adulto";"Inativo";"2026-07-02";"2026-07-02"
